user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
BIN1008	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.3%)
BIN1009	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS1668;s__	N/A	N/A	N/A	N/A	N/A	GCA_018110905.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS1668;s__UMGS1668 sp018110905	97.67	0.48	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS1668;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017399765.1, s__UMGS1668 sp017399765, 95.0, 90.45, 0.45; GCA_017847875.1, s__UMGS1668 sp017847875, 95.0, 88.22, 0.44; GCA_017435745.1, s__UMGS1668 sp017435745, 95.0, 86.52, 0.41; GCA_017521825.1, s__UMGS1668 sp017521825, 95.0, 86.15, 0.42; GCA_017424665.1, s__UMGS1668 sp017424665, 95.0, 84.89, 0.23; GCA_017399625.1, s__UMGS1668 sp017399625, 95.0, 84.37, 0.39; GCA_015067315.1, s__UMGS1668 sp015067315, 95.0, 84.37, 0.43; GCA_017468365.1, s__UMGS1668 sp017468365, 95.0, 83.64, 0.36; GCA_017436125.1, s__UMGS1668 sp017436125, 95.0, 83.11, 0.38; GCA_017536625.1, s__UMGS1668 sp017536625, 95.0, 82.93, 0.37; GCA_015067125.1, s__UMGS1668 sp015067125, 95.0, 82.49, 0.29; GCA_017547705.1, s__UMGS1668 sp017547705, 95.0, 82.29, 0.3; GCA_017473745.1, s__UMGS1668 sp017473745, 95.0, 81.79, 0.32; GCA_900768105.1, s__UMGS1668 sp900768105, 95.0, 78.31, 0.12; GCA_004556975.1, s__UMGS1668 sp004556975, 95.0, 77.42, 0.11; GCA_016296485.1, s__UMGS1668 sp016296485, 95.0, 77.34, 0.11; GCA_900553955.1, s__UMGS1668 sp900553955, 95.0, 76.85, 0.09; GCA_017991935.1, s__UMGS1668 sp017991935, 95.0, 75.31, 0.01	37.43	11	0.9987836170463457	N/A
BIN101	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAJFPI01;s__	N/A	N/A	N/A	N/A	N/A	GCA_904419145.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAJFPI01;s__CAJFPI01 sp904419145	81.11	0.42	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAJFPI01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_904420435.1, s__CAJFPI01 sp904420435, 95.0, 80.27, 0.3; GCA_904420145.1, s__CAJFPI01 sp904420145, 95.0, 78.8, 0.29; GCA_904398675.1, s__CAJFPI01 sp904398675, 95.0, 78.8, 0.24	57.41	11	0.9496342476254778	N/A
BIN1010	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__	N/A	N/A	N/A	N/A	N/A	GCA_017399405.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp017399405	88.98	0.82	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017631955.1, s__Fimenecus sp017631955, 95.0, 85.82, 0.85; GCA_017503135.1, s__Fimenecus sp017503135, 95.0, 82.64, 0.66; GCA_017624735.1, s__Fimenecus sp017624735, 95.0, 82.4, 0.55; GCA_017399175.1, s__Fimenecus sp017399175, 95.0, 82.34, 0.55; GCA_017466205.1, s__Fimenecus sp017466205, 95.0, 81.98, 0.43; GCA_017546665.1, s__Fimenecus sp017546665, 95.0, 81.76, 0.53; GCA_904501895.1, s__Fimenecus sp904501895, 95.0, 81.02, 0.57; GCA_900315985.1, s__Fimenecus sp900315985, 95.0, 77.89, 0.1; GCA_004556705.1, s__Fimenecus sp004556705, 95.0, 77.77, 0.12; GCA_018712805.1, s__Fimenecus excrementavium, 95.0, 77.53, 0.04; GCA_002490425.1, s__Fimenecus sp002490425, 95.0, 77.52, 0.17; GCA_017438845.1, s__Fimenecus sp017438845, 95.0, 77.4, 0.07; GCA_900766945.1, s__Fimenecus sp900766945, 95.0, 77.35, 0.03; GCA_015066635.1, s__Fimenecus sp015066635, 95.0, 77.21, 0.06; GCA_002361875.1, s__Fimenecus sp002361875, 95.0, 77.19, 0.17; GCA_900545625.1, s__Fimenecus sp900545625, 95.0, 77.01, 0.03; GCA_000432435.1, s__Fimenecus sp000432435, 95.0, 76.97, 0.05; GCA_004555265.1, s__Fimenecus sp004555265, 95.0, 76.94, 0.05; GCA_002314305.1, s__Fimenecus stercoravium, 95.0, 76.93, 0.02; GCA_018714805.1, s__Fimenecus excrementigallinarum, 95.0, 76.86, 0.02; GCA_900540295.1, s__Fimenecus sp900540295, 95.0, 76.86, 0.04; GCA_002490525.1, s__Fimenecus sp002490525, 95.0, 76.52, 0.04; GCA_016290515.1, s__Fimenecus sp016290515, 95.0, 76.44, 0.06; GCA_002437245.1, s__Fimenecus sp002437245, 95.0, 76.15, 0.05	96.37	11	0.9901106385257615	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
BIN1011	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.8%)
BIN1012	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__RUG369;s__RUG369 sp017435375	GCA_017435375.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__RUG369;s__RUG369 sp017435375	96.42	0.65	GCA_017435375.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__RUG369;s__RUG369 sp017435375	96.42	0.65	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__RUG369;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017937485.1, s__RUG369 sp017937485, 95.0, 92.47, 0.79; GCA_017937685.1, s__RUG369 sp017937685, 95.0, 91.78, 0.7; GCA_017436025.1, s__RUG369 sp017436025, 95.0, 91.3, 0.71; GCA_017466305.1, s__RUG369 sp017466305, 95.0, 89.76, 0.45; GCA_017559825.1, s__RUG369 sp017559825, 95.0, 88.94, 0.65; GCA_017549085.1, s__RUG369 sp017549085, 95.0, 88.31, 0.38; GCA_900317365.1, s__RUG369 sp900317365, 95.0, 76.54, 0.15; GCA_017441605.1, s__RUG369 sp017441605, 95.0, 76.52, 0.15; GCA_004556055.1, s__RUG369 sp004556055, 95.0, 76.45, 0.08; GCA_902786505.1, s__RUG369 sp902786505, 95.0, 76.34, 0.14; GCA_017550965.1, s__RUG369 sp017550965, 95.0, 76.21, 0.18; GCA_902803085.1, s__RUG369 sp902803085, 95.0, 76.13, 0.1; GCA_902772705.1, s__RUG369 sp902772705, 95.0, 76.02, 0.08; GCA_900318195.1, s__RUG369 sp900318195, 95.0, 75.69, 0.1	36.22	11	N/A	N/A
BIN1013	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.1%)
BIN1014	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.5%)
BIN1015	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	17.18	11	0.8894107301171357	N/A
BIN1016	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.7%)
BIN1017	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UMGS1840;f__HGM11507;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UMGS1840;f__HGM11507;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	19.18	11	0.8194978057862207	N/A
BIN1018	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__	N/A	N/A	N/A	N/A	N/A	GCA_016295225.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia sp016295225	88.81	0.9	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017435425.1, s__Evtepia sp017435425, 95.0, 84.06, 0.69; GCA_016296565.1, s__Evtepia sp016296565, 95.0, 83.99, 0.75; GCA_004551945.1, s__Evtepia sp004551945, 95.0, 83.83, 0.74; GCA_017521345.1, s__Evtepia sp017521345, 95.0, 83.66, 0.73; GCA_017547425.1, s__Evtepia sp017547425, 95.0, 83.44, 0.73; GCA_017502545.1, s__Evtepia sp017502545, 95.0, 83.24, 0.7; GCA_017560855.1, s__Evtepia sp017560855, 95.0, 83.06, 0.77; GCA_004554585.1, s__Evtepia sp004554585, 95.0, 81.82, 0.6; GCA_019115225.1, s__Evtepia faecigallinarum, 95.0, 81.82, 0.57; GCA_902781745.1, s__Evtepia sp902781745, 95.0, 81.6, 0.54; GCA_019115545.1, s__Evtepia faecavium, 95.0, 81.56, 0.63; GCA_004556345.1, s__Evtepia sp004556345, 95.0, 81.54, 0.59; GCA_900546255.1, s__Evtepia excrementipullorum, 95.0, 81.2, 0.56; GCF_003425665.1, s__Evtepia gabavorous, 95.0, 80.5, 0.47; GCA_910578575.1, s__Evtepia sp910578575, 95.0, 80.17, 0.46; GCA_910584805.1, s__Evtepia sp910584805, 95.0, 79.71, 0.47; GCA_900758955.1, s__Evtepia sp900758955, 95.0, 77.92, 0.18; GCA_000620945.1, s__Evtepia viridis, 95.0, 77.75, 0.09; GCA_017861415.1, s__Evtepia sp017861415, 95.0, 77.36, 0.16	94.96	11	0.986145339858294	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
BIN1019	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__G3-4614;g__Caccoplasma;s__Caccoplasma sp017416695	GCA_017416695.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__G3-4614;g__Caccoplasma;s__Caccoplasma sp017416695	97.7	0.96	GCA_017416695.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__G3-4614;g__Caccoplasma;s__Caccoplasma sp017416695	97.7	0.96	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__G3-4614;g__Caccoplasma;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015061035.1, s__Caccoplasma sp015061035, 95.0, 92.8, 0.86; GCA_017521245.1, s__Caccoplasma sp017521245, 95.0, 92.05, 0.89; GCA_017935575.1, s__Caccoplasma sp017935575, 95.0, 81.57, 0.63; GCA_017559955.1, s__Caccoplasma sp017559955, 95.0, 80.95, 0.69; GCA_017546805.1, s__Caccoplasma sp017546805, 95.0, 80.91, 0.65; GCA_017694415.1, s__Caccoplasma merdipullorum, 95.0, 76.98, 0.06	88.32	11	N/A	N/A
BIN102	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG806;s__	N/A	N/A	N/A	N/A	N/A	GCA_017513525.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG806;s__RUG806 sp017513525	80.38	0.37	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG806;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017625435.1, s__RUG806 sp017625435, 95.0, 81.01, 0.35; GCA_017440965.1, s__RUG806 sp017440965, 95.0, 80.74, 0.4; GCA_015066205.1, s__RUG806 sp015066205, 95.0, 80.46, 0.38; GCA_015065425.1, s__RUG806 sp015065425, 95.0, 79.67, 0.34; GCA_017517135.1, s__RUG806 sp017517135, 95.0, 78.62, 0.2; GCA_017416485.1, s__RUG806 sp017416485, 95.0, 77.85, 0.09; GCA_017435865.1, s__RUG806 sp017435865, 95.0, 77.75, 0.09; GCA_015066385.1, s__RUG806 sp015066385, 95.0, 77.59, 0.09; GCA_017443805.1, s__RUG806 sp017443805, 95.0, 77.32, 0.03; GCA_902788995.1, s__RUG806 sp902788995, 95.0, 77.29, 0.03; GCA_016297645.1, s__RUG806 sp016297645, 95.0, 77.27, 0.06; GCA_902782845.1, s__RUG806 sp902782845, 95.0, 77.19, 0.02; GCA_902780565.1, s__RUG806 sp902780565, 95.0, 77.13, 0.02; GCA_017439205.1, s__RUG806 sp017439205, 95.0, 77.02, 0.03; GCA_017428085.1, s__RUG806 sp017428085, 95.0, 76.82, 0.03; GCA_017396895.1, s__RUG806 sp017396895, 95.0, 76.73, 0.05; GCA_017550625.1, s__RUG806 sp017550625, 95.0, 76.49, 0.02; GCA_017430145.1, s__RUG806 sp017430145, 95.0, 76.4, 0.02; GCA_017450185.1, s__RUG806 sp017450185, 95.0, 76.29, 0.02; GCA_900313475.1, s__RUG806 sp900313475, 95.0, 75.98, 0.03; GCA_902796175.1, s__RUG806 sp902796175, 95.0, 75.89, 0.02	73.59	11	0.9780144835095496	N/A
BIN1020	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__Onthoplasma;s__	N/A	N/A	N/A	N/A	N/A	GCA_015069415.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__Onthoplasma;s__Onthoplasma sp015069415	78.14	0.13	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__Onthoplasma;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017473285.1, s__Onthoplasma sp017473285, 95.0, 79.61, 0.08; GCA_019120295.1, s__Onthoplasma faecipullorum, 95.0, 78.94, 0.09; GCA_002406115.1, s__Onthoplasma sp002406115, 95.0, 78.66, 0.09; GCA_017481235.1, s__Onthoplasma sp017481235, 95.0, 78.11, 0.06; GCA_017531805.1, s__Onthoplasma sp017531805, 95.0, 78.03, 0.15; GCA_017505165.1, s__Onthoplasma sp017505165, 95.0, 77.81, 0.09; GCA_015055745.1, s__Onthoplasma sp015055745, 95.0, 77.72, 0.18; GCA_018715225.1, s__Onthoplasma faecigallinarum, 95.0, 77.23, 0.13	80.76	11	0.957821015562502	N/A
BIN1021	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__UBA1709;g__RGIG3842;s__	N/A	N/A	N/A	N/A	N/A	GCA_017457045.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__UBA1709;g__RGIG3842;s__RGIG3842 sp017457045	89.48	0.7	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__UBA1709;g__RGIG3842;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	90.25	11	0.9913174188351209	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
BIN1022	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.2%)
BIN1023	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__HGM04593;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__HGM04593;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017938245.1, s__HGM04593 sp017938245, 95.0, 86.31, 0.77; GCA_017647725.1, s__HGM04593 sp017647725, 95.0, 84.36, 0.76; GCA_017407905.1, s__HGM04593 sp017407905, 95.0, 81.07, 0.65; GCA_017554605.1, s__HGM04593 sp017554605, 95.0, 79.47, 0.41; GCA_017546635.1, s__HGM04593 sp017546635, 95.0, 78.76, 0.4; GCA_015060965.1, s__HGM04593 sp015060965, 95.0, 78.68, 0.25; GCA_017522785.1, s__HGM04593 sp017522785, 95.0, 78.68, 0.26; GCA_017442185.1, s__HGM04593 sp017442185, 95.0, 78.64, 0.33; GCA_017546785.1, s__HGM04593 sp017546785, 95.0, 78.63, 0.38; GCA_017467885.1, s__HGM04593 sp017467885, 95.0, 78.61, 0.29; GCA_017481875.1, s__HGM04593 sp017481875, 95.0, 78.59, 0.25; GCA_904501775.1, s__HGM04593 sp904501775, 95.0, 78.56, 0.45; GCA_017555585.1, s__HGM04593 sp017555585, 95.0, 78.51, 0.22; GCA_017398805.1, s__HGM04593 sp017398805, 95.0, 78.5, 0.21; GCA_017507105.1, s__HGM04593 sp017507105, 95.0, 78.45, 0.34; GCA_900769765.1, s__HGM04593 sp900769765, 95.0, 78.42, 0.28; GCA_900769465.1, s__HGM04593 sp900769465, 95.0, 78.34, 0.2; GCA_015060835.1, s__HGM04593 sp015060835, 95.0, 78.31, 0.19; GCA_017466065.1, s__HGM04593 sp017466065, 95.0, 78.31, 0.25; GCA_017522915.1, s__HGM04593 sp017522915, 95.0, 78.29, 0.25; GCA_017451695.1, s__HGM04593 sp017451695, 95.0, 78.27, 0.27; GCA_017547205.1, s__HGM04593 sp017547205, 95.0, 78.23, 0.23; GCA_017536765.1, s__HGM04593 sp017536765, 95.0, 78.22, 0.26; GCA_015060905.1, s__HGM04593 sp015060905, 95.0, 78.2, 0.21; GCA_017560125.1, s__HGM04593 sp017560125, 95.0, 78.18, 0.17; GCA_017936265.1, s__HGM04593 sp017936265, 95.0, 78.16, 0.24; GCA_017647225.1, s__HGM04593 sp017647225, 95.0, 78.13, 0.2; GCA_017416705.1, s__HGM04593 sp017416705, 95.0, 78.09, 0.31; GCA_017467015.1, s__HGM04593 sp017467015, 95.0, 78.01, 0.2; GCA_900770665.1, s__HGM04593 sp900770665, 95.0, 77.97, 0.26; GCA_017557045.1, s__HGM04593 sp017557045, 95.0, 77.96, 0.16; GCA_017536695.1, s__HGM04593 sp017536695, 95.0, 77.94, 0.22; GCA_017503645.1, s__HGM04593 sp017503645, 95.0, 77.91, 0.27; GCA_017408685.1, s__HGM04593 sp017408685, 95.0, 77.9, 0.21; GCA_015060885.1, s__HGM04593 sp015060885, 95.0, 77.87, 0.26; GCA_017462065.1, s__HGM04593 sp017462065, 95.0, 77.83, 0.18; GCA_900770655.1, s__HGM04593 sp900770655, 95.0, 77.83, 0.25; GCA_017547585.1, s__HGM04593 sp017547585, 95.0, 77.75, 0.2; GCA_017631585.1, s__HGM04593 sp017631585, 95.0, 77.74, 0.21; GCA_017546505.1, s__HGM04593 sp017546505, 95.0, 77.74, 0.21; GCA_017555845.1, s__HGM04593 sp017555845, 95.0, 77.61, 0.23; GCA_904502235.1, s__HGM04593 sp904502235, 95.0, 77.55, 0.23; GCA_017516885.1, s__HGM04593 sp017516885, 95.0, 77.52, 0.2; GCA_017381475.1, s__HGM04593 sp017381475, 95.0, 77.49, 0.24; GCA_017646665.1, s__HGM04593 sp017646665, 95.0, 77.45, 0.23; GCA_017555865.1, s__HGM04593 sp017555865, 95.0, 77.45, 0.18; GCA_017647975.1, s__HGM04593 sp017647975, 95.0, 77.25, 0.2; GCA_904502185.1, s__HGM04593 sp904502185, 95.0, 77.16, 0.22; GCA_017536325.1, s__HGM04593 sp017536325, 95.0, 77.02, 0.18; GCA_017558165.1, s__HGM04593 sp017558165, 95.0, 77.0, 0.21; GCA_017383665.1, s__HGM04593 sp017383665, 95.0, 76.42, 0.2	90.71	11	0.9888101298282983	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
BIN1024	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.3%)
BIN1025	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__HGM04593;s__	N/A	N/A	N/A	N/A	N/A	GCA_017938245.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__HGM04593;s__HGM04593 sp017938245	91.39	0.84	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__HGM04593;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017647725.1, s__HGM04593 sp017647725, 95.0, 86.86, 0.84; GCA_017407905.1, s__HGM04593 sp017407905, 95.0, 82.02, 0.72; GCA_017554605.1, s__HGM04593 sp017554605, 95.0, 79.29, 0.45; GCA_017546635.1, s__HGM04593 sp017546635, 95.0, 79.2, 0.45; GCA_017522915.1, s__HGM04593 sp017522915, 95.0, 78.72, 0.2; GCA_017398805.1, s__HGM04593 sp017398805, 95.0, 78.71, 0.22; GCA_017546785.1, s__HGM04593 sp017546785, 95.0, 78.67, 0.4; GCA_017522785.1, s__HGM04593 sp017522785, 95.0, 78.65, 0.25; GCA_017442185.1, s__HGM04593 sp017442185, 95.0, 78.58, 0.32; GCA_900769465.1, s__HGM04593 sp900769465, 95.0, 78.52, 0.2; GCA_017481875.1, s__HGM04593 sp017481875, 95.0, 78.47, 0.27; GCA_017507105.1, s__HGM04593 sp017507105, 95.0, 78.45, 0.31; GCA_015060965.1, s__HGM04593 sp015060965, 95.0, 78.45, 0.25; GCA_017555585.1, s__HGM04593 sp017555585, 95.0, 78.39, 0.21; GCA_017503645.1, s__HGM04593 sp017503645, 95.0, 78.39, 0.28; GCA_017467885.1, s__HGM04593 sp017467885, 95.0, 78.36, 0.27; GCA_017536765.1, s__HGM04593 sp017536765, 95.0, 78.36, 0.28; GCA_017466065.1, s__HGM04593 sp017466065, 95.0, 78.31, 0.27; GCA_017451695.1, s__HGM04593 sp017451695, 95.0, 78.25, 0.3; GCA_017560125.1, s__HGM04593 sp017560125, 95.0, 78.22, 0.17; GCA_017547205.1, s__HGM04593 sp017547205, 95.0, 78.21, 0.22; GCA_015060885.1, s__HGM04593 sp015060885, 95.0, 78.17, 0.28; GCA_904501775.1, s__HGM04593 sp904501775, 95.0, 78.17, 0.43; GCA_900769765.1, s__HGM04593 sp900769765, 95.0, 78.16, 0.26; GCA_015060835.1, s__HGM04593 sp015060835, 95.0, 78.14, 0.18; GCA_015060905.1, s__HGM04593 sp015060905, 95.0, 78.11, 0.2; GCA_017546505.1, s__HGM04593 sp017546505, 95.0, 77.95, 0.21; GCA_900770665.1, s__HGM04593 sp900770665, 95.0, 77.93, 0.27; GCA_017416705.1, s__HGM04593 sp017416705, 95.0, 77.93, 0.32; GCA_017936265.1, s__HGM04593 sp017936265, 95.0, 77.92, 0.24; GCA_017462065.1, s__HGM04593 sp017462065, 95.0, 77.92, 0.21; GCA_017408685.1, s__HGM04593 sp017408685, 95.0, 77.91, 0.21; GCA_017536695.1, s__HGM04593 sp017536695, 95.0, 77.89, 0.19; GCA_017547585.1, s__HGM04593 sp017547585, 95.0, 77.82, 0.24; GCA_900770655.1, s__HGM04593 sp900770655, 95.0, 77.8, 0.28; GCA_017516885.1, s__HGM04593 sp017516885, 95.0, 77.7, 0.22; GCA_017467015.1, s__HGM04593 sp017467015, 95.0, 77.67, 0.2; GCA_017557045.1, s__HGM04593 sp017557045, 95.0, 77.65, 0.18; GCA_017631585.1, s__HGM04593 sp017631585, 95.0, 77.6, 0.21; GCA_904502235.1, s__HGM04593 sp904502235, 95.0, 77.58, 0.22; GCA_017381475.1, s__HGM04593 sp017381475, 95.0, 77.56, 0.21; GCA_017646665.1, s__HGM04593 sp017646665, 95.0, 77.5, 0.23; GCA_017558165.1, s__HGM04593 sp017558165, 95.0, 77.41, 0.25; GCA_017647225.1, s__HGM04593 sp017647225, 95.0, 77.41, 0.2; GCA_017555845.1, s__HGM04593 sp017555845, 95.0, 77.31, 0.23; GCA_017647975.1, s__HGM04593 sp017647975, 95.0, 77.23, 0.19; GCA_904502185.1, s__HGM04593 sp904502185, 95.0, 77.17, 0.19; GCA_017555865.1, s__HGM04593 sp017555865, 95.0, 76.97, 0.21; GCA_017536325.1, s__HGM04593 sp017536325, 95.0, 76.75, 0.2; GCA_017383665.1, s__HGM04593 sp017383665, 95.0, 76.61, 0.17	93.17	11	0.9942351712529551	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
BIN1026	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG446;s__RGIG446 sp017621195	GCA_017621195.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG446;s__RGIG446 sp017621195	97.78	0.96	GCA_017621195.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG446;s__RGIG446 sp017621195	97.78	0.96	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG446;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017386805.1, s__RGIG446 sp017386805, 95.0, 80.8, 0.61; GCA_017472365.1, s__RGIG446 sp017472365, 95.0, 79.73, 0.43	96.7	11	N/A	N/A
